"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\Makefile", "Makefile", 0, 4, 0, 0, 1, 5
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\include\admingui.h", "C++", 0, 0, 9, 16, 5, 30
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\include\boxes.h", "C", 7, 0, 0, 12, 5, 24
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\include\header.h", "C++", 0, 0, 94, 15, 37, 146
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\include\menu.h", "C++", 0, 0, 6, 15, 4, 25
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\include\money.h", "C++", 0, 0, 10, 54, 8, 72
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\include\text.h", "C++", 0, 0, 7, 12, 5, 24
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\include\usergui.h", "C++", 0, 0, 19, 88, 17, 124
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\main.c", "C", 157, 0, 0, 44, 40, 241
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\src\admingui.c", "C", 208, 0, 0, 62, 70, 340
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\src\boxes.c", "C", 29, 0, 0, 13, 5, 47
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\src\header.c", "C", 65, 0, 0, 17, 14, 96
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\src\menu.c", "C", 165, 0, 0, 17, 15, 197
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\src\money.c", "C", 126, 0, 0, 91, 41, 258
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\src\text.c", "C", 62, 0, 0, 24, 12, 98
"c:\Users\Mattia\Documents\Scuola\c\c\Vendita biglietti\Ticket-Seller\src\usergui.c", "C", 458, 0, 0, 165, 98, 721
"Total", "-", 1277, 4, 145, 645, 377, 2448
